Customer Code,Business Name,Owner Name,Phone Number,Customer Type,Channel Type,Residential Type,Latitude,Longitude,Location,Created At
SS1042,JILAC SPECIALST HOSPITAL,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1043,AGGIEMAY MEDICAL CENTER,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1044,AGGIE'S MATERNITY HOME,Victoria,233543489556,Retailer,Private Health Facility,Urban,null,null,Anyininam,2016-11-04 06:52:14
SS1045,AGNES K MARTERNITY,Agnes Kyeremanteng,233244058920,Retailer,Private Health Facility,Urban,5.6129898,-0.201243,Akwanso,2016-11-04 06:52:14
SS1046,AGOMEDA HEALTH CENTER,Ruth Diogo,233245170560,Retailer,Private Health Facility,Urban,null,null,Agomeda,2016-11-04 06:52:14
SS1047,AGOMENYA DISTRICT HEALTH CENTRE,Evlyn,233246004719,Retailer,Public Health Facility,Urban,null,null,Somanya,2016-11-04 06:52:14
SS1048,AGONA SWEDRU H. CENTRE,Kofi,233509195777,Retailer,Private Health Facility,Urban,null,null,Swedru,2016-11-04 06:52:14
SS1049,AHMED CHEMICALS,Ahmed,233246182717,Retailer,Chemical Shop,Urban,null,null,Mankessim,2016-11-04 06:52:14
SS1050,AKAI HOUSE CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1051,AKUSE GOVERNMENT HOSPITAL,Afriyie,233243034606,Retailer,Public Health Facility,Urban,null,null,Akuse,2016-11-04 06:52:14
SS1052,AKWAPIN SOUTH DHA,Eunice,233244053892,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1053,ALBERTA M FORSON CHEMICALS,Kojo,233546719593,Retailer,Chemical Shop,Urban,null,null,Mankessim,2016-11-04 06:52:14
SS1054,ALBERTO HOSPITAL,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1055,ALEX OKWASHIE CHEMICALS,Okwashie,233244458783,Retailer,Chemical Shop,Urban,null,null,Anomabo,2016-11-04 06:52:14
SS1056,ALEXIA PHARMACY,Asante,233285407416,Retailer,Pharmacy,Urban,null,null,Nungua,2016-11-04 06:52:14
SS1057,ALICE A TIZAAKPUR,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1058,ALICE ANUMEL,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1060,ALIDOR MATERNITY HOME,Alidor,233243331120,Retailer,Private Health Facility,Urban,null,null,Asesewa,2016-11-04 06:52:14
SS1061,ALIMEFS PHARMACY,Ali  ,0245 632477,Retailer,Pharmacy,Urban,null,null,La,2016-11-04 06:52:14
SS1062,FAITH  CHEMICAL,null,233,Retailer,Chemical Shop,Urban,6.4987244,0.7223831,Dzodze,2016-11-04 06:52:14
SS1063,ALPHA MEDICAL CENTER,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1064,AMA ADOMA CHEMICALS,Ama,233243774984,Retailer,Chemical Shop,Urban,5.6485249,-0.2724215,Sowutom,2016-11-04 06:52:14
SS1065,AMAFROM HEALTH CENTRE,Josephine,233243336411,Retailer,Private Health Facility,Urban,0.0,0.0,Amafrom,2016-11-04 06:52:14
SS1067,AMED CHEMICALS,Linda,233540675466,Retailer,Chemical Shop,Urban,null,null,Mankessim,2016-11-04 06:52:14
SS1068,AMONAPRASO HEALTH CENTRE,Mary,233242664782,Retailer,Private Health Facility,Urban,null,null,Amoanapraso,2016-11-04 06:52:14
SS1069,ANDREA BROWING CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1070,ANDREWS VANDYCK CHEMICALS,Andrew,233547330431,Retailer,Chemical Shop,Urban,null,null,Mankessim,2016-11-04 06:52:14
SS1072,ANKAFUL CHPS ZONE,Emefa,233546568583,Retailer,Pharmacy,Urban,null,null,Ankaful,2016-11-04 06:52:14
SS1073,ANKAFUL GEN. HOSPITAL,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1074,ANKAM HOSPITAL,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1076,ANNALONDON CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1077,ANOMABO HEALTH CENTRE,Rose,233207332201,Retailer,Public Health Facility,Urban,5.1806225,-1.117371,Anomabo,2016-11-04 06:52:14
SS1079,ANTON MEDICAL CENTER,nu,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1080,ASAMANG TANFOE HEALTH CENTRE,Olivia,233244809041,Retailer,Private Health Facility,Urban,null,null,Asamang Tamfoe,2016-11-04 06:52:14
SS1081,ASAMOAH CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1082,ASESEWA DHA,Hilda,233542660660,Retailer,Pharmacy,Urban,null,null,Asesewa,2016-11-04 06:52:14
SS1083,ASESEWA GOVERNMENT HOSPITAL,Sandra,233244126061,Retailer,Public Health Facility,Urban,6.39763,-0.1433373,Asesewa,2016-11-04 06:52:14
SS1084,ASESEWA RCH,Thelma,233243182205,Retailer,Pharmacy,Urban,null,null,Asesewa,2016-11-04 06:52:14
SS1085,ASH VILLAGE PHARMACY,Philip,0244 262666,Retailer,Pharmacy,Urban,null,null,Kasoa,2016-11-04 06:52:14
SS1086,ASHIAMAN MUNICIPAL HEALTH DIRECTORATE,Saakat,233268202093,Retailer,Public Health Facility,Urban,null,null,Ashiaman,2016-11-04 06:52:14
SS1087,ASHIYIE COMMUNITY CLINIC,Gifty,233289108213,Retailer,Private Health Facility,Urban,null,null,Adenta,2016-11-04 06:52:14
SS1088,ASIAKWA HEALTH CENTRE,Elizabeth,233244425153,Retailer,Private Health Facility,Urban,null,null,Asiakwa,2016-11-04 06:52:14
SS1089,ASIKAM CHPS ZONE,Betty,233549723477,Retailer,Pharmacy,Urban,null,null,Asikam,2016-11-04 06:52:14
SS1090,ASIKUMA HEALTH CENTER,Lily,233244082999,Retailer,Private Health Facility,Urban,null,null,Asikuma,2016-11-04 06:52:14
SS1092,ASSIN FOSU POLYCLINIC,Elizabeth Danso,233242767645,Retailer,Public Health Facility,Urban,null,null,Assin Fosu,2016-11-04 06:52:14
SS1093,ASSIN NSUTA CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1094,ASSIN NSUTA PRESBY H/C,Elizabeth Mensah,233541897062,Retailer,Private Health Facility,Urban,null,null,Assin Nsuta,2016-11-04 06:52:14
SS1095,ASSIN PRASO HOSPITAL,Sarfoh,233246147448,Retailer,Private Health Facility,Urban,5.927132,-1.361726,Assin Praso,2016-11-04 06:52:14
SS1100,ATUA GOVERNMENT HOSPITAL,Irene Ofei,233244584590,Retailer,Public Health Facility,Urban,null,null,Somanya,2016-11-04 06:52:14
SS1101,AVE-DAPKA HEALTH CENTRE,Doris,233207361418,Retailer,\N,\N,6.4987244,0.7223831,Ave-Dapka,2016-11-04 06:52:14
SS1102,AYEDU CHIP ZONE,Mercy Biney-Quansah,233249128855,Retailer,Pharmacy,Urban,null,null,Ayedu,2016-11-04 06:52:14
SS1103,AYEMESU HEALTH CENTRE,Theresah,233248966512,Retailer,Private Health Facility,Urban,null,null,Somanya,2016-11-04 06:52:14
SS1105,AYNINAM HEALTH CENTRE,Love,233242889397,Retailer,Private Health Facility,Urban,null,null,Anyininam,2016-11-04 06:52:14
SS1107,BAATSONAA MED CENTRE,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1109,BAIDEN GHARTEY CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1110,BARNOR HOSPITAL,Ellen Addo,233243664536,Retailer,\N,\N,5.5474062,-0.2410312,Laterboikorshie,2016-11-04 06:52:14
SS1111,BARBS CHEMICALS,Abaiku,233505849012,Retailer,Chemical Shop,Urban,null,null,Mankessim,2016-11-04 06:52:14
SS1117,BENGALI HOSPITAL,Matron,233206301354,Retailer,Private Health Facility,Urban,null,null,Tema Ii,2016-11-04 06:52:14
SS1118,BENNYCARE PHARMACY,Bennce,233504310969,Retailer,Pharmacy,Urban,null,null,Akweley,2016-11-04 06:52:14
SS1124,BETHEL MATERNITY HOME.,Evelyn ,233545315452,Retailer,Private Health Facility,Urban,null,null,Klo Agogo,2016-11-04 06:52:14
SS1125,BINEY MEDICAL CENTER,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1126,BIRIWA HEALTH CENTRE,Joseph,233242715002,Retailer,Private Health Facility,Urban,5.1806225,-1.117371,Biriwa,2016-11-04 06:52:14
SS1128,BONSU HEALTH CENTRE,Enerstina,233242140552,Retailer,Private Health Facility,Urban,null,null,Bunso,2016-11-04 06:52:14
SS1129,BORTIANOR COMMUNITY CLINIC,Mary Ofosu,,Retailer,\N,\N,5.5145642,-0.3332204,Bortianor,2016-11-04 06:52:14
SS1130,BOSO HEALTH CENTER,Emmanuel,233242663148,Retailer,Private Health Facility,Urban,null,null,Anum Boso,2016-11-04 06:52:14
SS1131,BOSSAMASE CHPS ZONE,Nana Akua,233243364253,Retailer,Non-Traditional Outlet,Urban,null,null,Bossomase,2016-11-04 06:52:14
SS1132,BOTI HEALTH CENTRE,Racheal,233242814837,Retailer,Private Health Facility,Urban,null,null,Boti,2016-11-04 06:52:14
SS1133,BRAKWA HEALTH CENTRE,Harriet,233248980850,Retailer,Private Health Facility,Urban,null,null,Brakwa,2016-11-04 06:52:14
SS1134,BROFOYEDURU HEALTH CENTER,Ani,233244860786,Retailer,Private Health Facility,Urban,null,null,Cape Coast,2016-11-04 06:52:14
SS1135,BRYAN LOWE OTHOPEDIC & GEN HOSPITAL,Cynthia,233249176129,Retailer,Public Health Facility,Urban,null,null,Manpong,2016-11-04 06:52:14
SS1138,BUKUNOR HEALTH CENTRE,Mabel,233244777607,Retailer,Private Health Facility,Urban,6.2296577,-0.106324,Bukunor,2016-11-04 06:52:14
SS1139,C & J MEDICARE HOSPITAL,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1141,CAPA PHARMACY,Mr Ben,0244 742114,Retailer,Pharmacy,Urban,null,null,Sakumona Junct,2016-11-04 06:52:14
SS1143,CAPE COAST METROPOLITAN HEALTH DIRECTORA,Lydia,233243475702,Retailer,Private Health Facility,Urban,null,null,Cape Coast,2016-11-04 06:52:14
SS1144,CAPE COAST POLY CLINIC,Vitoria Aikins,233249647615,Retailer,Public Health Facility,Urban,null,null,Cape Coast,2016-11-04 06:52:14
SS1145,CAPE COAST POLYCLINIC,Agnes,233246618382,Retailer,Public Health Facility,Urban,null,null,Cape Coast,2016-11-04 06:52:14
SS1147,FIRST HOME CHEMIST,null,233206705867,Retailer,Chemical Shop,Urban,null,null,Osu,2016-11-04 06:52:14
SS1148,CATHEDRAL CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1149,CECILIA & SAMMY  MAT HOME,Jane Adjei-Benin,233244416845,Retailer,Private Health Facility,Urban,null,null,Assin Fosu,2016-11-04 06:52:14
SS1150,CENTRAL AFLAO HOSPITAL,Sylvia,233244750732,Distributor,Private Health Facility,Urban,0.0,0.0,Aflao,2016-11-04 06:52:14
SS1151,CENTRAL KASOA CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1152,CENTRAL REGIONAL HOSPITAL,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1153,CHARITY ADOM CHEMICALS,Wonder,233244018521,Retailer,Chemical Shop,Urban,null,null,Golowati,2016-11-04 06:52:14
SS1154,CHARLES BOAKYE CHEMICALS SHOP,Charles,233244371616,Retailer,Chemical Shop,Urban,null,null,Pokuase,2016-11-04 06:52:14
SS1155,CHEMICANI PHARMACY,Vida,233277480318,Retailer,Pharmacy,Urban,null,null,Bortianor,2016-11-04 06:52:14
SS1157,CHRIST THE KING CHEMICALS,Matilda,233248344829,Retailer,Chemical Shop,Urban,null,null,Akweteman,2016-11-04 06:52:14
SS1158,CHRISTIAN MEDICAL CENTER,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1159,EFFY  PHARMACY,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1160,CIMA PHARMACY,Eben,0242 218741,Retailer,Pharmacy,Urban,null,null,Com17 Lashibi,2016-11-04 06:52:14
SS1161,CITADEL CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1165,COLLIERS PHARMACY,Esther,233302325387,Retailer,Pharmacy,Urban,null,null,Dansoman,2016-11-04 06:52:14
SS1166,CPF HOSPITAL,Ann,233544343462,Retailer,Private Health Facility,Urban,null,null,New Achimota,2016-11-04 06:52:14
SS1167,CRYSTAL LIFE PHARMACY,Prince,0265 531261,Retailer,Pharmacy,Urban,null,null,Kasoa,2016-11-04 06:52:14
SS1168,DAALE MAT HOME,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1169,DAILY WORD CLINIC,Christian,233543565400,Retailer,Private Health Facility,Urban,null,null,Manfe,2016-11-04 06:52:14
SS1170,DANEST CHEMICALS,Daniel,233242526996,Retailer,Chemical Shop,Urban,null,null,Asuture,2016-11-04 06:52:14
SS1171,DANFA HEALTH CENTRE,Felicia Amankwa,233244159034,Retailer,Private Health Facility,Urban,5.7278166,-0.1745206,Danfa,2016-11-04 06:52:14
SS1172,DANGBE WEST HOSPITAL,Hannah,233248873537,Retailer,Public Health Facility,Urban,null,null,Dodowa,2016-11-04 06:52:14
SS1173,JANE CHPS,null,23,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1174,DANOD CHEMICALS,Linda,233279964602,Retailer,Chemical Shop,Urban,null,null,Kasoa,2016-11-04 06:52:14
SS1175,DANPONG CLINIC,Drnpeter,233546683002,Retailer,Private Health Facility,Urban,5.6328439,-0.1007964,Spintex,2016-11-04 06:52:14
SS1176,DANSALLO PHARMACY,Alhaj,233264592876,Retailer,Pharmacy,Urban,5.6252176,-0.2849323,Sowutom,2016-11-04 06:52:14
SS1177,DANSOMAN POLYCLINIC,Nana Serwa,233244471783,Retailer,Public Health Facility,Urban,5.5612828,-0.2601018,Dansoman,2016-11-04 06:52:14
SS1178,DARBEM CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1179,DAYDEN PHARMACY,Doris,233302778050,Retailer,Pharmacy,Urban,null,null,La,2016-11-04 06:52:14
SS1180,DECO MEDICAL CENTER,Dr. E. Kwajo,233544428595,Retailer,Private Health Facility,Urban,null,null,New Achimota,2016-11-04 06:52:14
SS1181,DEL INTERNATIONAL HOSPITAL,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1182,DELADEM PHARMACY,Joyce,233249309784,Retailer,Pharmacy,Urban,6.6063173,0.4713219,Ho,2016-11-04 06:52:14
SS1183,DELBEN PHARMACY,Pearl,0242 165106,Retailer,Pharmacy,Urban,null,null,Teshie,2016-11-04 06:52:14
SS1184,DESERET HOSPITAL,Mrs Kissi,233244269801,Retailer,Pharmacy,Urban,null,null,Santa Maria,2016-11-04 06:52:14
SS1185,DESTINY AMEGBEY HEALTH CENTER,Fosu,233542219334,Retailer,Private Health Facility,Urban,6.3993897,0.178638,Asikuma,2016-11-04 06:52:14
SS1186,EXPRESS PHARMACY,Linda,233245237678,Retailer,Chemical Shop,Urban,null,null,Wineba,2016-11-04 06:52:14
SS1187,DISTRICT HEALTH DIRECTORATE AKUAPEM-NORTH,Praise Boamah,233244473428,Retailer,Public Health Facility,Urban,null,null,Akuapem,2016-11-04 06:52:14
SS1188,DOKU CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1189,DOME R. C. H.,Precious,233202096572,Retailer,Private Health Facility,Urban,null,null,Dome,2016-11-04 06:52:14
SS1190,DREAMLAND PHARMACY,George,233242017166,Retailer,Pharmacy,Urban,null,null,Adenta,2016-11-04 06:52:14
SS1191,DUGA HEALTH CENTRE,Evelyn,233245745742,Retailer,Private Health Facility,Urban,null,null,Duga,2016-11-04 06:52:14
SS1192,DUNKWA GOV. HOSPITAL,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1193,DZIGBODI CHEMICALS,Dotsey Eva,233248100366,Retailer,Chemical Shop,Urban,null,null,Aflao,2016-11-04 06:52:14
SS1194,DZOLOGBOGAME HEALTH CENTER,Diana,233248100366,Retailer,Private Health Facility,Urban,6.7753652,0.476739,Dzologbogame,2016-11-04 06:52:14
SS1195,E BONSU CHEMICALS,Jennifer,233208510404,Retailer,\N,\N,5.6544914,-0.2709966,Ofankor,2016-11-04 06:52:14
SS1196,E. O. FRAMPONG CHEMICALS SHOP,Edward,233244845398,Retailer,Chemical Shop,Urban,null,null,Pokuase,2016-11-04 06:52:14
SS1197,E.K.B ESSEL CHEMICALS,Essel,233242341695,Retailer,Chemical Shop,Urban,null,null,Komantse,2016-11-04 06:52:14
SS1198,EAST LEGON CLINIC & IPS CLINIC,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1203,EFFIA-NKWANTA HOSPITAL,Pearl,233244272972,Retailer,\N,\N,4.9261279,-1.7592059,Effia-Nkwanta,2016-11-04 06:52:14
SS1209,ELEOMAX PHARMACY,Kokoukorkou,0208 119133,Retailer,Pharmacy,Urban,null,null,Lashibi Fm Bus Stop,2016-11-04 06:52:14
SS1210,ELIJAH COMONG CHEMICALS,Elijah,233247123899,Retailer,Chemical Shop,Urban,null,null,Swedru,2016-11-04 06:52:14
SS1212,ELMINA URBAN HEALTH CENTER,Emma Kwame,233243333675,Retailer,Private Health Facility,Urban,null,null,Elmina,2016-11-04 06:52:14
SS1213,EL-SHADDAI LCS,Elshadi,0208 213498,Retailer,Pharmacy,Urban,null,null,Teshie,2016-11-04 06:52:14
SS1215,ELSHADIA MATERNITY MATERNITY,Gladys Tawiah,233244994417,Retailer,Private Health Facility,Urban,null,null,Somanya,2016-11-04 06:52:14
SS1216,EMBOCH PHARMACY,Emma,233244504458,Retailer,Pharmacy,Urban,null,null,Isreal,2016-11-04 06:52:14
SS1217,EMMANUEL ADOM CHEMICALS,Nana,233244475223,Retailer,Chemical Shop,Urban,null,null,Ho,2016-11-04 06:52:14
SS1218,EMMANUEL BOAKYE CHEMICALS,Emmanuel,233243294568,Retailer,Chemical Shop,Urban,null,null,Kasoa,2016-11-04 06:52:14
SS1219,EMMANUEL DANSO CHEMICALS,Emmanuel,233242011577,Retailer,Chemical Shop,Urban,null,null,Kasoa,2016-11-04 06:52:14
SS1220,ENOCK CHEMICALS,Enock,233242781333,Retailer,Chemical Shop,Urban,null,null,Dawa,2016-11-04 06:52:14
SS1221,ENYIRESI (RCH) HOSPITAL,Stella,233244140850,Retailer,Private Health Facility,Urban,6.1194608,-0.2731304,Enyiresi,2016-11-04 06:52:14
SS1222,EPDRA PHARMACY,Ambrose,233201073280,Retailer,Pharmacy,Urban,6.6066511,0.4713219,Ho,2016-11-04 06:52:14
SS1223,ESIKUMA HEALTH CENTER,Lily,233244082999,Retailer,Public Health Facility,Urban,null,null,Breman Esikuman,2016-11-04 06:52:14
SS1224,ESSIKADO HOSPITAL,Anastasia Eshum,233243308437,Retailer,Private Health Facility,Urban,4.9451678,-1.7148928,Secondi Takoradi Metro,2016-11-04 06:52:14
SS1228,EURETOM PHARMACY,Daniel,233208857649,Retailer,Pharmacy,Urban,null,null,Dansoman,2016-11-04 06:52:14
SS1229,EVA & EVANS PHARMACY,Peggy,0243 082831,Retailer,Pharmacy,Urban,null,null,Lashibi Emefs Jtnc,2016-11-04 06:52:14
SS1230,EVANS TETTEH CHEMICALS SHOP,Yaa Serwaa,233248992172,Retailer,Chemical Shop,Urban,null,null,Katapor,2016-11-04 06:52:14
SS1231,EVLYN CHEMICALS,Evlyn,233261628263,Retailer,Chemical Shop,Urban,null,null,Akuse,2016-11-04 06:52:14
SS1233,EWIN POLYCLINIC,Sister Kate,233209222857,Retailer,Public Health Facility,Urban,null,null,Cape Coast,2016-11-04 06:52:14
SS1234,EDEN FAMILY HOSPITAL,null,233208388954,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1235,EZEKIEL AGYAKO CHEMICALS SHOP,Asabea,233242259648,Retailer,\N,\N,5.6255255,-0.2715411,Sowutuom,2016-11-04 06:52:14
SS1236,EDITH MAT,null,233542222103,Retailer,Non-Traditional Outlet,Urban,null,null,Gbawe,2016-11-04 06:52:14
SS1237,EDUBIASE GOV. HOSPITAL,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1238,EGON GERMAN CLINIC,null,1,Retailer,Private Health Facility,Urban,null,null,Sowotuom,2016-11-04 06:52:14
SS1239,FAITH EVANGELICAL MISSION CLINIC,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1240,FAMILY HEALTH HOSPITAL,Francias,233244736438,Retailer,\N,\N,5.5736329,-0.1143154,Teshie,2016-11-04 06:52:14
SS1241,FAMILYCARE PHARMACY,Vida,233246191743,Retailer,Pharmacy,Urban,null,null,Awoshie,2016-11-04 06:52:14
SS1242,FAP PHARMACY,Jimima,233242550444,Retailer,Pharmacy,Urban,null,null,Korlebu,2016-11-04 06:52:14
SS1244,FAUSTINA AYINIVI CHEMICALS,Faustina,233244374017,Retailer,\N,\N,5.6002366,-0.2700737,Santa Maria,2016-11-04 06:52:14
SS1245,FELICIA MENSAH,null,null,Retailer,Pharmacy,Urban,null,null,null,2016-11-04 06:52:14
SS1246,FELLBERT PHARMACY,Arnette,0203 157571,Retailer,Pharmacy,Urban,null,null,Nthc Opp Estate,2016-11-04 06:52:14
SS1248,FIDEN MEDICAL CENTER,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1249,FINNEY HOSPITAL,null,null,Retailer,Private Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1251,FOSU GOV. HOSPITAL,null,null,Retailer,Public Health Facility,Urban,null,null,null,2016-11-04 06:52:14
SS1252,FRANK KWESI ADOM CHEMICALS,Dzansi,233002453949,Retailer,Chemical Shop,Urban,null,null,Accra,2016-11-04 06:52:14
